stop_id,stop_code,stop_name,stop_lat,stop_lon
"6441127772","6441127772","AVENIDA 7_CALLE 516",-34.886392,-57.986398
"628115141","628115141","MIGUEL CANE 900-998",-34.886200,-58.363625
"6441124803","6441124803","CALLE 3_CALLE 515 BIS",-34.882830,-57.983618
"6441129745","6441129745","CALLE 476_CALLE 21",-34.881473,-58.047882
"628115170","628115170","MIGUEL CANE 1-98",-34.879685,-58.350510
"698107331","698107331","CALLE 7_CALLE 156",-34.878555,-57.895905
"628110278","628110278","GRAL. BRIG. MANUEL CALDERÓN 301-399",-34.877860,-58.347092
"6441129600","6441129600","CALLE 495_CALLE 13",-34.877117,-58.015727
"06098005316","06098005316","13 y 161",-34.876323,-57.885510
"6245116090","6245116090","J. V. GONZÁLEZ_MÁRMOL",-34.875017,-57.913417
"6441117781","6441117781","CAMINO PARQUE CENTENARIO_CALLE 489",-34.872447,-58.028357
"628114105","628114105","AVENIDA HIPÓLITO YRIGOYEN 19201-19299",-34.871862,-58.389468
"6274115026","6274115026","CALLE 1148 2765",-34.868998,-58.188915
"6441132982","6441132982","DIAGONAL 25 DE MAYO 92_CALLE 13B",-34.866843,-58.045677
"698107352","698107352","AVENIDA MONTEVIDEO_NUEVA YORK",-34.864808,-57.891853
"06245002204","06245002204","Polideportivo",-34.862800,-57.901740
"06245002060","06245002060","Combatientes De Malvinas y Maipú",-34.861902,-57.920357
"06245002038","06245002038","San Martín y Arias De Saavedra",-34.852147,-57.916583
"6427123583","6427123583","CARLOS R. RICHET 500-548",-34.847360,-58.647492
"6274127815","6274127815","CONCEJA ESTREBAN PISANI 1524-1598",-34.844467,-58.283408
"691109007","691109007","CALLE 413 75",-34.839843,-58.188372
"691110697","691110697","CALLE 413 225-299",-34.836887,-58.186978
"6274106873","6274106873","AVENIDA GUILLERMO HUDSON 3557",-34.836228,-58.238802
"691109004","691109004","CALLE 455 1300-1348",-34.834427,-58.185497
"691109003","691109003","CALLE 455 1300-1348",-34.834418,-58.185520
"6260132513","6260132513","LEANDRO N. ALEM 1949-1999",-34.834373,-58.454337
"06245002108","06245002108","Club De Pesca",-34.833765,-57.948390
"691132908","691132908","CALLE 413_CALLE 455 (EST. GUTIERREZ - ESTE)",-34.833400,-58.185322
"691127899","691127899","CALLE 413_CALLE 457",-34.832285,-58.184777
"628120645","628120645","ARISTÓBULO DEL VALLE 301-399",-34.832250,-58.396483
"6260103019","6260103019","AVENIDA DARDO ROCHA",-34.831552,-58.493435
"6427115571","6427115571","CALLE CONCORDIA 3701-3799",-34.828885,-58.634208
"6274106898","6274106898","LUJÁN 1395",-34.827480,-58.227015
"628113344","628113344","AVENIDA MONTEVERDE 1799-1829",-34.826545,-58.371262
"6260102986","6260102986","AVENIDA E. SANTAMARINA 790",-34.824595,-58.475830
"6441130368","6441130368","RUTA PROVINCIAL 36_CNO COSTA AZUL",-35.050105,-57.979700
"6441112753","6441112753","AVENIDA 19_CALLE 56",-34.929345,-57.957745
"6441113887","6441113887","AVENIDA 13_CALLE 61",-34.927360,-57.946733
"6441113038","6441113038","AVENIDA 1_AVENIDA 72",-34.925328,-57.921963
"6441101383","6441101383","AVENIDA 1_CALLE 69",-34.922762,-57.925245
"6441117318","6441117318","DIAGONAL 73_CALLE 49",-34.921500,-57.958035
"6441110397","6441110397","DIAGONAL 73_CALLE 11",-34.921195,-57.950185
"06441002022","06441002022","Av. 7 y 57",-34.918695,-57.944375
"6441124281","6441124281","AVENIDA 13_CALLE 42",-34.914618,-57.963812
"6441107277","6441107277","AVENIDA 1_CALLE 46",-34.907048,-57.946543
"6441127776","6441127776","DIAGONAL 80_CALLE 2",-34.906175,-57.948980
"6441118335","6441118335","AVENIDA 7_AVENIDA 38",-34.905627,-57.962007
"6441122048","6441122048","CALLE 511_CALLE 28",-34.902585,-58.014292
"6441122079","6441122079","AVENIDA 7_CALLE 34",-34.902010,-57.966892
"6441120339","6441120339","AVENIDA 13_CALLE 524",-34.899490,-57.983985
"6441122068","6441122068","CALLE 511_CALLE 21",-34.896030,-58.007120
"6441128752","6441128752","CALLE 418_CALLE 145",-34.889705,-58.122790
"6441124801","6441124801","CALLE 4_CALLE 522",-34.889385,-57.977053
"628110182","628110182","MIGUEL CANE 1299-1399",-34.887948,-58.367195
"06098002053","06098002053","Av. Montevideo y 52",-34.887347,-57.833783
"06098002056","06098002056","Av. Montevideo y 52",-34.887292,-57.833760
"06098002049","06098002049","Av. Montevideo y 47",-34.884313,-57.839795
"6441125768","6441125768","CALLE 3_CALLE 516",-34.883505,-57.982730
"06098002115","06098002115","42 y Entre Ríos",-34.883198,-57.846683
"6441113889","6441113889","AVENIDA 120_CALLE 522",-34.881050,-57.967948
"628115151","628115151","MIGUEL CANE 248",-34.880820,-58.352808
"628110219","628110219","AV. HIPÓLITO YRIGOYEN 19700-19748",-34.876567,-58.389740
"6441133233","6441133233","CALLE 13_CALLE 493",-34.876185,-58.017845
"06098002135","06098002135","Palo Blanco y Teodoro Funchs",-34.875100,-57.854640
"06098002104","06098002104","N. H. Beguin y 31",-34.874688,-57.856820
"06098002019","06098002019","Av. Montevideo y 20",-34.873275,-57.871177
"6441129618","6441129618","CALLE 13_CALLE 486",-34.872585,-58.026142
"06098002118","06098002118","Av. 7 y 164",-34.870168,-57.889220
"06098002117","06098002117","Av. 7 y 165",-34.868017,-57.887487
"6441133221","6441133221","CALLE 12_CALLE 476",-34.867427,-58.037780
"6441131236","6441131236","CAMINO GENERAL BELGRANO_CALLE 415",-34.867283,-58.102393
"6274107675","6274107675","AVENIDA EVA PERÓN",-34.866962,-58.275705
"6245116115","6245116115","PRESIDENTE PERÓN_EVA PERÓN",-34.859565,-57.910957
"06270000005","06270000005","Estación Ezeiza",-34.853915,-58.522177
"6441127645","6441127645","CALLE 6_CALLE 46",-34.851515,-58.082518
"628110226","628110226","AV. BERLIN 700-798",-34.850757,-58.383677
"628110953","628110953","AVENIDA BERLIN 99-199",-34.847802,-58.377775
"62708zkf","62708zkf","CASTEX y CORNELIO SAAVEDRA",-34.846170,-58.506080
"6260107218","6260107218","PARAGUAY",-34.841152,-58.505870
"6260132496","6260132496","LEANDRO N. ALEM 2554-2598",-34.838325,-58.451487
"6245118840","6245118840","CAMINO COSTANERO ALMIRANTE BROWN_CALLE 14",-34.837430,-57.942012
"6274106959","6274106959","AVENIDA GUILLERMO HUDSON 3557",-34.837390,-58.237952
"628121155","628121155","PABLO PODESTA 337",-34.836997,-58.377415
"628114121","628114121","AVENIDA HIPÓLITO YRIGOYEN 15399-15499",-34.833430,-58.400553
"6274106869","6274106869","AVENIDA GUILLERMO HUDSON 2722",-34.832797,-58.241325
"628123110","628123110","AVENIDA MONTEVERDE 2498",-34.825595,-58.421027
"6274115428","6274115428","PEHUAJÓ 1199-1299",-34.825492,-58.232482
"628113397","628113397","AVENIDA MONTEVERDE 2099",-34.824375,-58.367240
"61348qpp","61348qpp","DEL CARMEN y REP DEL URUGUAY Vuelta",-35.046580,-58.752150
"6441129540","6441129540","CALLE 167_610",-35.014525,-57.953300
"6441129412","6441129412","RUTA 36_CALLE 49",-34.993832,-58.036817
"6778dnj129","6778dnj129","AV. PERON Y BAEZ",-34.990425,-58.383010
"6441119939","6441119939","AVENIDA 7_CALLE 620",-34.963980,-57.884615
"6778dnj143","6778dnj143","Av. Yrigoyen y V. Casares",-34.961155,-58.379040
"6441110370","6441110370","AVENIDA 60_CALLE 139",-34.951348,-57.974935
"6441103838","6441103838","CALLE 27_CALLE 70",-34.948042,-57.950770
"06441001543","06441001543","64 y 14",-34.930732,-57.944150
